customer_id,full_name,email,phone,birth_date,country,signup_date,loyalty_tier
5034,Gabrielle Albert,gabrielle.albertgmail.com,0033917798270,25/07/1997,SUISSE,2024-05-16,or
5035,Robert Lesage,robert.lesage@ gmail.com,+33216995866,2031-01-15,France,2026-08-15,-999
5036,Guillaume Chauvin-Le Goff,guillaume.chauvin-le.goff@outlook.com,0033848583339,1899-05-20,US,2025-04-18,bronze
5037,Christelle Lacombe,christelle.lacombe@ gmail.com,unknown,1984-06-24,CH,06/10/2025,?
5038,Catherine de Weber,catherine.de.weber@yahoo.fr,0020438057,16/08/1946,France,27/03/2022,unknown
5039,Hélène Bernier-Jourdan,hélène.bernier-jourdangmail.com,+33665800439,26-10-1977,Belgique,2026-01-25,or
5040,Hélène Couturier,hélène.couturier@outlook.com,NULL,27/07/1988,États-Unis,11/08/2023,bronze
5041,Laurence Berthelot,laurence.berthelot@yahoo.fr,null,17-07-1955,US,05/03/2024,or
5042,Martine-Arnaude Neveu,martine-arnaude.neveu@gmail.com,,25-07-1959,ch,2025-01-14,platine
5043,Maryse Cousin,maryse.cousingmail.com,+33739930561,09/02/1952,de,26/08/2023,platine
5044,Lorraine Laurent-Blondel,?,,1997-05-19,CH,2024-05-22,bronze
5045,François Leconte,françois.leconte@hotmail.fr,N/A,08/12/1982,ch,29/12/2021,or
5046,Roger-Auguste Bruneau,roger-auguste.bruneau@yahoo.fr,+33650618091,1997-05-06,Suisse,03/07/2025,bronze
5047,Amélie-Arnaude Pelletier,amélie-arnaude.pelletier@gmail.com,NULL,2005-04-29,USA,2022-05-28,platine
5048,Lucie Couturier,lucie.couturier@outlook.com,0033100996881,12-07-1946,GERMANY,2023-03-31,bronze
5049,Frédérique Pasquier,frédérique.pasquier@gmail.com,+33431290878,24/08/2003,United States,2022-02-01,n/a
5050,Gilbert Perrin,gilbert.perrin@ gmail.com,0033149135775,13-07-1950,United States,21/10/2024,platine
5051,  STÉPHANE BRUNET LE GOMES  ,stéphane.brunet.le.gomes@hotmail.fr,0045257775,16-08-2007,Etats-Unis,06/08/2025,GOLD
5052,Catherine Roger,catherine.roger@outlook.com,0011080996,21-02-1984,Suisse,27/07/2025,or
5053,Alfred Le Devaux,alfred.le.devaux@hotmail.fr,94.27.88.16.50,09/10/2002,CH,2024-03-26,or
5054,Thibault Pottier-Gaillard,thibault.pottier-gaillard@yahoo.fr,null,06-07-1992,Suisse,16/01/2023,platine
5055,Alphonse Laroche-Leclerc,alphonse.laroche-leclerc@gmail.com,05.18.44.98.90,1974-07-25,fr,2022-08-04,bronze
5056,Mathilde Coste,mathilde.coste@hotmail.fr,+33865577908,1984-09-21,GERMANY,18/02/2026,argent
5057,Danielle Rolland,danielle.rolland@gmail.com,0033591365177,1941-07-03,ch,2024-02-13,argent
5058,Corinne-Olivie Simon,corinne-olivie.simon@yahoo.fr,+33809202428,31-12-1953,Allemagne,2026-07-07,or
5059,Agnès Fouquet Le Clément,agnès.fouquet.le.clément@hotmail.fr,0033929298425,1951-12-20,DE,03/05/2026,or
5060,Antoinette Rolland du Collin,antoinette.rolland.du.collin@yahoo.fr,0033291279908,21-08-1945,GERMANY,2024-03-28,platine
5061,Benjamin Leduc,benjamin.leduc@hotmail.fr,08.63.76.59.90,06-03-1985,Suisse,2022-03-18,platine
5062,Gilbert Martel,gilbert.martel@hotmail.fr,0030098180,2031-01-15,US,07/08/2023,platine
5063,Hugues du Étienne,hugues.du.étienne@gmail.com,0095946368,1943-09-19,DE,22/08/2025,or
5064,Dorothée Lemaître,dorothée.lemaître@ gmail.com,-,1977-08-27,USA,2023-09-22,platine
5065,  ANASTASIE RENARD  ,anastasie.renard@hotmail.fr,NULL,27-11-1964,United States,06/05/2025,platine
5066,Louise Mendès,louise.mendès@hotmail.fr,0084309883,27/12/2007,US,18/10/2024,argent
5067,Jules Dupuis,jules.dupuis@ gmail.com,0033669380118,1984-11-06,États-Unis,2023-02-22,-
5068,Marine Perrot-Baron,marine.perrot-barongmail.com,+33426818184,11/09/1952,ch,04/06/2023,VIP
5069,Pierre Boucher,pierre.boucher@outlook.com,+33357790714,07/06/2001,Allemagne,2022-01-22,platine
5070,Yves Boutin-Rolland,yves.boutin-rolland@outlook.com,0034165182,26/09/1995,Etats-Unis,2024-02-08,platine
5071,  GABRIELLE BAUDRY  ,-,NULL,27/11/1955,be,2022-04-28,bronze
5072,Yves Dupré,yves.dupré@ gmail.com,N/A,03-09-1972,ch,2023-09-17,platine
5073,Charlotte-Anastasie Laine,charlotte-anastasie.laine@yahoo.fr,-,02/09/1995,USA,03/02/2025,bronze
5074,Capucine Germain,capucine.germain@hotmail.fr,47.95.52.76.30,04-11-1962,France,26/10/2023,argent
5075,Mathilde Maréchal,mathilde.maréchal@outlook.com,0043866322,11-09-1956,CH,02/02/2024,bronze
5076,Emmanuel De Oliveira,emmanuel.de.oliveira@yahoo.fr,+33906120347,2031-01-15,Allemagne,2025-12-01,GOLD
5077,Maurice Vallet,maurice.valletgmail.com,50.61.59.39.90,27/10/1960,Francia,2024-12-21,platine
5078,Diane Valette-Jacquet,diane.valette-jacquet@gmail.com,null,10/05/1962,CH,19/12/2025,platine
5079,Augustin Renard,augustin.renard@gmail.com,-999,1961-06-30,Etats-Unis,2022-08-22,bronze
5080,Christophe Petitjean,christophe.petitjean@hotmail.fr,?,2031-01-15,Belgique,2025-07-19,bronze
5081,Bernard Charles,bernard.charles@gmail.com,unknown,30-01-1982,Belgique,2026-01-09,N/A
5082,Thérèse Bigot,thérèse.bigot@ gmail.com,0033299796884,2008-11-05,GERMANY,08/04/2026,platine
5083,Henriette Blanc,henriette.blanc@yahoo.fr,0008254780,11-11-1968,Francia,2025-02-28,bronze
5084,Valentine Ribeiro,valentine.ribeiro@yahoo.fr,0033853686632,1936-05-29,de,2025-04-19,argent
5085,Michelle Vasseur,michelle.vasseur@ gmail.com,48.46.31.22.40,13/06/1955,BELGIQUE,2022-04-10,or
5086,Stéphanie Maillard,stéphanie.maillard@yahoo.fr,0033080214427,04/04/1988,ch,2025-05-11,platine
5087,Benjamin Fernandes-Garcia,benjamin.fernandes-garcia@hotmail.fr,0033705120461,28-09-1972,FRANCE,2024-06-09,bronze
5088,Étienne Deschamps,étienne.deschamps@gmail.com,,1997-01-06,GERMANY,16/02/2025,bronze
5089,Isaac Leroux de Vallet,isaac.leroux.de.vallet@gmail.com,0033503136502,11/01/2006,de,11/09/2025,argent
5090,Célina-Nicole Berger,célina-nicole.berger@outlook.com,0013271950,1936-05-23,Francia,08/01/2022,bronze
5091,René Gautier,rené.gautier@hotmail.fr,0033306524077,27/02/1945,France,2024-07-08,argent
5092,Victoire Aubert-Duhamel,victoire.aubert-duhamel@gmail.com,+33821827448,20/09/1949,Belgique,23/07/2023,bronze
5093,Timothée Guillou,timothée.guillou@outlook.com,0033351863878,1964-02-25,SUISSE,29/06/2022,or
5094,Isaac Lejeune Le Masson,isaac.lejeune.le.massongmail.com,+33317310967,10/12/1942,Allemagne,2024-05-08,or
5095,Joséphine-Anaïs Poulain,joséphine-anaïs.poulain@outlook.com,,1952-04-11,USA,2024-05-14,or
5096,Henri Garnier,henri.garnier@outlook.com,33.83.92.88.60,27/07/2006,Francia,15/06/2025,bronze
5097,Martine-Suzanne Boutin,martine-suzanne.boutin@hotmail.fr,0033852897558,1899-05-20,SUISSE,06/09/2026,platine
5098,Michelle Pasquier,michelle.pasquier@gmail.com,,1993-01-14,DE,2021-09-21,or
5099,Guy Godard,guy.godard@ gmail.com,+33350488899,11/12/1936,be,30/06/2022,platine
5100,Michel Hamon,michel.hamon@hotmail.fr,?,1947-06-07,FR,2025-09-08,argent
5101,Patrick Blot,patrick.blot@outlook.com,0033610556613,08/06/1988,DE,18/06/2025,platine
5102,Adrienne Couturier du Vincent,adrienne.couturier.du.vincent@hotmail.fr,0083206799,01-08-1958,SUISSE,31/03/2024,unknown
5103,Martin Charpentier-Carlier,martin.charpentier-carlier@hotmail.fr,86.41.68.62.20,28-10-1946,Etats-Unis,16/02/2024,
5104,Patrick du Gilles,patrick.du.gilles@outlook.com,0033591166553,1978-07-29,SUISSE,2023-04-29,or
5105,Alexandrie Pires Le Roy,alexandrie.pires.le.roy@yahoo.fr,0035211039,2009-10-18,ch,11/05/2026,bronze
5106,Aimé Le Goff de Schneider,?,-,23/06/1969,France,10/08/2023,bronze
5107,Amélie Le Picard,amélie.le.picard@yahoo.fr,0033016451046,25/03/1940,BE,17/11/2022,bronze
5108,Dominique Lacombe,dominique.lacombe@hotmail.fr,0033238780038,12/03/1943,France,2023-04-01,bronze
5109,Nathalie Vallet,nathalie.vallet@yahoo.fr,84.04.60.84.30,02/07/1947,Allemagne,25/06/2022,or
5110,Christine Fernandez,christine.fernandez@yahoo.fr,64.95.78.23.20,19-06-1990,be,17/08/2024,platine
5111,Daniel Le Lagarde,daniel.le.lagarde@outlook.com,0018812520,10-08-1988,Francia,2025-07-20,platine
5112,Olivie Bailly,olivie.baillygmail.com,20.99.49.99.30,1968-12-12,Francia,2024-09-14,platine
5113,Zacharie Michel-Pelletier,zacharie.michel-pelletier@hotmail.fr,0033526772233,1941-09-07,CH,2021-11-18,bronze
5114,Grégoire Pasquier,grégoire.pasquier@outlook.com,0033975736609,31-05-1952,ch,2025-05-26,or
5115,Margaux Carlier,margaux.carlier@gmail.com,null,02/08/1981,Allemagne,19/07/2025,-999
5116,Étienne Klein,étienne.klein@yahoo.fr,0033490827718,09/09/1968,FR,15/04/2022,argent
5117,Christiane-Nathalie Pasquier,christiane-nathalie.pasquier@hotmail.fr,?,1959-12-25,be,22/11/2024,or
5118,Rémy Neveu,rémy.neveu@ gmail.com,25.92.22.20.60,12/07/1964,fr,2023-04-06,argent
5119,Louise Toussaint,louise.toussaint@gmail.com,?,10/04/1949,Suisse,22/10/2022,argent
5120,Susanne Lejeune,unknown,null,11/11/1968,CH,2025-12-28,argent
5121,Lucy-Margot Fernandez,lucy-margot.fernandez@hotmail.fr,+33998279501,27/05/1939,Suisse,2025-07-26,platine
5122,Michèle Gillet,michèle.gillet@outlook.com,N/A,1997-03-30,Suisse,13/10/2024,or
5123,Sébastien Chauveau,sébastien.chauveau@outlook.com,+33954899529,2009-03-05,États-Unis,2024-07-14,gold
5124,Zoé du Arnaud,,-,2001-12-31,be,2023-06-21,or
5125,Aimé de la Blot,aimé.de.la.blotgmail.com,0033501556990,1899-05-20,Etats-Unis,2025-11-19,bronze
5126,Jacques Le Maillet,jacques.le.maillet@yahoo.fr,0033785760849,28-08-1971,BE,07/05/2025,?
5127,Agnès Guillaume,agnès.guillaume@yahoo.fr,05.68.29.96.20,11/01/1979,be,12/09/2024,bronze
5128,Hugues Lacombe de Maillard,hugues.lacombe.de.maillard@yahoo.fr,null,06/10/1966,Allemagne,2023-12-10,bronze
5129,Olivier Charrier,olivier.charrier@hotmail.fr,-,12-04-1947,BELGIQUE,2022-04-20,VIP
5130,Alphonse Torres de Le Roux,alphonse.torres.de.le.roux@gmail.com,94.35.33.44.80,27/09/1970,fr,27/04/2023,platine
5131,Célina Maillard,NULL,0033813858542,03/12/1946,GERMANY,2026-06-10,argent
5132,Sébastien Moulin de la Guérin,sébastien.moulin.de.la.guérin@hotmail.fr,N/A,28-01-1959,Francia,2022-08-14,bronze
5133,Sophie Chauvet Le Langlois,,n/a,1960-08-24,Suisse,17/06/2026,bronze
5134,Thibault Poirier,thibault.poirier@outlook.com,+33701715772,2004-03-09,BE,2023-02-18,platine
5135,Charlotte Grégoire,null,+33876963938,11/06/1943,CH,2022-07-08,argent
5136,Nathalie François,nathalie.françois@yahoo.fr,0021971997,11-04-1961,France,2023-05-08,n/a
5137,Matthieu Schmitt,matthieu.schmitt@yahoo.fr,,1958-10-29,Suisse,05/07/2025,platine
5138,Maurice Rossi,maurice.rossi@outlook.com,0046519098,1957-08-02,United States,29/09/2023,argent
5139,William Bonnet,william.bonnet@gmail.com,,01/06/1963,Francia,2023-08-19,platine
5140,Frédérique Dupré-Giraud,frédérique.dupré-giraud@gmail.com,+33242201027,2031-01-15,Etats-Unis,2025-01-05,bronze
5141,Augustin Dos Santos,augustin.dos.santosgmail.com,27.86.87.65.30,22-11-1983,SUISSE,2022-08-26,platine
5142,Adèle Verdier du Foucher,adèle.verdier.du.foucher@hotmail.fr,null,24-06-1953,be,2022-06-07,or
5143,Laurence du Blondel,n/a,-999,1941-08-04,DE,2024-04-14,bronze
5144,Margot De Oliveira,margot.de.oliveira@gmail.com,0033494079290,11-03-1962,FR,02/01/2025,or
5145,Thierry Michel Le Vallée,-,n/a,29-11-1941,Suisse,2025-01-07,bronze
5146,Diane Bertin,diane.bertin@yahoo.fr,-,31/05/1994,United States,2025-01-10,bronze
5147,François Verdier,françois.verdier@ gmail.com,-,1990-10-20,DE,2025-02-20,argent
5148,Thérèse Charles,thérèse.charles@gmail.com,0033580185694,11-08-1946,États-Unis,2023-05-25,or
5149,Benoît-Gilbert Bègue,benoît-gilbert.bègue@yahoo.fr,0033525800106,15-07-1979,ch,18/03/2022,platine
5150,Zacharie Cohen,zacharie.cohen@gmail.com,0010939111,1962-02-01,Belgique,02/01/2026,bronze
5151,Laurent Descamps,laurent.descamps@gmail.com,0033717465421,05/01/1993,United States,2023-02-09,or
5152,Laurent Chevallier,laurent.chevallier@yahoo.fr,0073962712,02-09-1960,US,2024-06-04,bronze
5153,Gabrielle Bonneau,gabrielle.bonneau@ gmail.com,19.47.07.20.00,22/12/1983,be,17/01/2025,or
5154,Denis-Jacques Michaud,denis-jacques.michaud@gmail.com,,27/10/1978,be,23/05/2023,bronze
5155,Luc Lefèvre de Poulain,luc.lefèvre.de.poulain@outlook.com,+33280634615,27-10-1975,SUISSE,26/02/2024,or
5156,Élisabeth Joly,élisabeth.joly@yahoo.fr,+33184787005,26/05/1938,BE,01/01/2022,bronze
5157,Luc Lemaire,luc.lemaire@yahoo.fr,0002707903,07/08/1951,be,25/03/2025,bronze
5158,Aimé Giraud,aimé.giraud@hotmail.fr,0011179931,05-03-1983,CH,2025-09-29,N/A
5159,Maggie Gallet,maggie.gallet@yahoo.fr,53.09.25.11.40,09-08-1986,CH,06/06/2022,bronze
5160,Denise Grenier,denise.grenier@outlook.com,0033219620710,20/06/1963,SUISSE,04/10/2021,?
5161,Victor Allain,victor.allaingmail.com,+33487632909,2002-03-30,FRANCE,2022-08-15,bronze
5162,Aurore Techer,aurore.techer@gmail.com,+33331819588,16/09/1997,Suisse,26/10/2022,or
5163,Guillaume de Leclercq,guillaume.de.leclercqgmail.com,,04-03-1944,France,01/10/2025,or
5164,Amélie Duval,amélie.duval@gmail.com,11.37.99.56.30,1991-04-03,fr,16/06/2025,argent
5165,Henriette Merle,henriette.merle@yahoo.fr,+33631797062,25/12/1943,FR,20/10/2022,
5166,Susanne Colin du Besson,susanne.colin.du.besson@gmail.com,0033209042177,1945-12-14,Belgique,2023-10-25,or
5167,Geneviève Collet,geneviève.collet@gmail.com,0033687397740,30/12/1980,Suisse,2025-05-16,or
5168,Gérard Millet-Gay,gérard.millet-gaygmail.com,-999,1979-03-08,CH,26/12/2023,platine
5169,Augustin Pascal-Chrétien,augustin.pascal-chrétien@hotmail.fr,NULL,27/08/1936,France,2021-11-04,bronze
5170,Susan Leleu,susan.leleu@outlook.com,+33165804649,13-02-1946,be,08/06/2024,N/A
5171,Zacharie de Legendre,zacharie.de.legendregmail.com,0033657905528,14/10/2001,be,2025-03-31,or
5172,Emmanuelle Dos Santos-Daniel,emmanuelle.dos.santos-daniel@outlook.com,n/a,1953-08-15,USA,13/06/2023,or
5173,Camille Laine,camille.laine@outlook.com,null,09-12-1997,GERMANY,2023-03-01,bronze
5174,Bernard Gaillard,bernard.gaillard@gmail.com,NULL,1956-06-02,Francia,2025-05-30,argent
5175,William Roche,william.roche@gmail.com,,2031-01-15,Allemagne,2024-07-23,argent
5176,Émile Bertin de la Guillet,émile.bertin.de.la.guillet@outlook.com,72.92.84.22.20,13-08-1963,BELGIQUE,12/07/2022,or
5177,Alphonse Prévost,alphonse.prévost@hotmail.fr,0033805525782,1978-10-24,ch,22/05/2024,bronze
5178,Alexandre Lebon,alexandre.lebongmail.com,,21/07/2005,US,2025-05-14,bronze
5179,Maggie Lagarde,maggie.lagarde@yahoo.fr,40.69.37.51.50,23/02/1944,be,30/12/2021,unknown
5180,Stéphane de la Gosselin,stéphane.de.la.gosselin@gmail.com,0063759980,1956-07-26,FRANCE,2026-04-07,bronze
5181,Nicole Caron,-999,+33455478137,1989-06-03,BE,2025-06-06,bronze
5182,Simone Hervé,simone.hervé@outlook.com,12.34.78.51.90,03/01/1948,FRANCE,2025-07-03,?
5183,Adrien Lejeune,adrien.lejeune@ gmail.com,+33923264870,20/08/1983,Francia,2025-11-02,platine
5184,Stéphane Bailly du Vaillant,stéphane.bailly.du.vaillant@hotmail.fr,null,1991-03-19,Belgique,27/04/2022,argent
5185,Paul-Arthur Joseph,paul-arthur.joseph@outlook.com,+33158904290,2031-01-15,GERMANY,14/06/2022,argent
5186,Christiane Hamon,christiane.hamongmail.com,44.81.83.21.90,21-12-1947,United States,2025-06-27,bronze
5187,Margot Gomes-Pottier,margot.gomes-pottier@gmail.com,0033520284576,1995-09-18,Allemagne,04/06/2023,VIP
5188,Bernard Carpentier,bernard.carpentier@hotmail.fr,+33881671120,25/04/1947,Suisse,2024-02-14,or
5189,Jules Joly du Godard,jules.joly.du.godard@gmail.com,32.23.42.32.10,16-12-1974,Belgique,06/11/2023,platine
5190,Auguste Moreau,auguste.moreau@gmail.com,0090714014,28-10-1993,BELGIQUE,22/01/2025,platine
5191,Charles Marion,charles.mariongmail.com,24.95.52.89.30,16-02-1951,France,2024-03-31,platine
5192,Benoît Delorme,benoît.delorme@yahoo.fr,,19/12/1992,CH,02/02/2025,bronze
5193,Éric Monnier,éric.monniergmail.com,0051718275,1899-05-20,DE,31/03/2025,null
5194,Alice Perez-Millet,alice.perez-millet@outlook.com,-,01/10/1972,SUISSE,2026-06-02,platine
5195,Dorothée Richard,dorothée.richardgmail.com,+33112669121,18-08-2010,US,2023-07-17,argent
5196,Jean de la Valentin,jean.de.la.valentin@ gmail.com,0033499465796,1999-01-10,FR,2026-08-30,platine
5197,Laurence de la Lecoq,laurence.de.la.lecoq@gmail.com,0001017026,1969-10-27,DE,2024-09-29,argent
5198,Colette Bailly,colette.bailly@ gmail.com,+33347784858,16/05/1982,États-Unis,15/06/2024,or
5199,Martin Lemaire,martin.lemaire@hotmail.fr,02.84.27.62.40,30/06/1964,Allemagne,20/04/2025,or
5200,Cécile Colas,cécile.colas@ gmail.com,+33064796954,1986-05-08,BE,29/04/2023,platine
5201,Théodore Lambert,théodore.lambert@hotmail.fr,0033616556503,03-05-1945,FR,17/12/2022,n/a
5202,Théodore Clément de Schneider,théodore.clément.de.schneider@yahoo.fr,,1944-04-22,de,31/10/2021,platine
5203,Michelle Masse,michelle.masse@hotmail.fr,+33785294563,29/12/1964,Belgique,16/03/2024,bronze
5204,René Benoit,rené.benoitgmail.com,,1957-04-10,BELGIQUE,23/09/2025,argent
5205,Pénélope Lacroix,pénélope.lacroix@ gmail.com,85.36.64.98.70,1961-10-09,États-Unis,29/01/2025,or
5206,Édith Moreau-Techer,édith.moreau-techer@outlook.com,+33489690835,22-06-1988,France,2024-01-13,argent
5207,Denis Letellier-Pottier,unknown,0044249363,19-02-1993,fr,2022-04-16,bronze
5208,Alexandre de la Ruiz,alexandre.de.la.ruiz@hotmail.fr,0020448207,15-07-1970,Etats-Unis,2025-08-20,unknown
5209,Augustin Bouvier,augustin.bouvier@outlook.com,0033231981898,1980-11-04,SUISSE,2022-12-25,or
5210,Georges Brunel,georges.brunel@yahoo.fr,0032123476,22/11/1944,ch,2022-12-29,bronze
5211,Andrée-Victoire Joubert,andrée-victoire.joubert@hotmail.fr,n/a,29/10/1963,États-Unis,23/11/2021,bronze
5212,Xavier Dupuis,xavier.dupuisgmail.com,+33376064413,1954-09-12,BE,2023-03-18,bronze
5213,Matthieu Lefort,matthieu.lefortgmail.com,76.56.12.48.10,06/07/1959,GERMANY,2023-06-25,platine
5214,Marguerite De Sousa de Ledoux,marguerite.de.sousa.de.ledoux@outlook.com,0033345911238,1939-08-19,ch,2025-04-16,bronze
5215,Théophile Torres,théophile.torres@outlook.com,+33295431652,1966-07-01,États-Unis,09/09/2023,bronze
5216,Hélène Lefebvre,hélène.lefebvre@gmail.com,20.69.69.42.10,2031-01-15,CH,2026-07-07,null
5217,Roland Lemaire,roland.lemaire@outlook.com,0034476263,12/10/1936,United States,21/09/2024,or
5218,Yves Roche du Arnaud,yves.roche.du.arnaudgmail.com,+33973597107,13-05-1966,BELGIQUE,22/05/2022,platine
5219,Nicole Torres,nicole.torres@hotmail.fr,18.00.53.75.90,1951-08-22,Suisse,03/06/2026,platine
5220,Amélie Thomas Le Bodin,amélie.thomas.le.bodingmail.com,0092428757,13-03-1982,be,20/05/2022,argent
5221,Philippine Blanchard,philippine.blanchard@hotmail.fr,+33564494856,03-04-1955,United States,09/03/2026,unknown
5222,Victoire Salmon,victoire.salmon@yahoo.fr,0033320742761,2006-12-23,GERMANY,2026-09-13,gold
5223,Alice Pichon,alice.pichon@hotmail.fr,0051342284,18-06-1962,SUISSE,16/07/2024,argent
5224,Frédérique-Adèle Laine,frédérique-adèle.laine@ gmail.com,0033150416591,1993-03-28,BE,2025-11-28,or
5225,Alexandre Faure,alexandre.faure@hotmail.fr,n/a,29-03-1970,FR,2025-09-24,argent
5226,Isaac Lefèvre de Lévy,isaac.lefèvre.de.lévy@outlook.com,+33361032664,12/02/2007,US,16/12/2024,platine
5227,Charles Léger,charles.léger@outlook.com,15.83.77.67.40,15-07-1972,DE,2024-07-15,platine
5228,Bernadette Boulay,bernadette.boulay@hotmail.fr,0033108573278,1967-05-31,de,2024-11-14,NULL
5229,Aurélie Le Bigot,aurélie.le.bigot@hotmail.fr,+33386490810,10-07-1968,France,2024-04-16,platine
5230,Pauline du Gauthier,pauline.du.gauthier@yahoo.fr,0033801722601,28/07/1970,BELGIQUE,21/10/2023,bronze
5231,Hugues Coste du Boulay,hugues.coste.du.boulay@yahoo.fr,,1985-12-29,GERMANY,2022-04-22,argent
5232,Victor Martel,victor.martel@gmail.com,0056412203,27/03/1970,Allemagne,13/04/2022,or
5233,Étienne Michel,étienne.michel@ gmail.com,0033147276012,01/06/1951,BELGIQUE,27/03/2026,argent
5234,Véronique Georges,?,0033960501667,12-03-1937,fr,29/05/2025,platine
5235,Luce Da Silva du Alexandre,luce.da.silva.du.alexandre@gmail.com,0095814671,1972-03-07,GERMANY,2024-03-12,
5236,Sophie Rocher,sophie.rocher@hotmail.fr,0038395972,10/06/1968,FRANCE,20/02/2026,argent
5237,Patricia Maillet,patricia.maillet@yahoo.fr,+33417223297,29-08-1984,Francia,24/03/2022,argent
5238,Virginie Bailly,virginie.bailly@hotmail.fr,+33228015619,29-04-1953,United States,09/11/2022,bronze
5239,Hélène Coulon-Poirier,hélène.coulon-poirier@yahoo.fr,n/a,01-04-2010,SUISSE,2024-10-08,argent
5240,Roger Dupont,roger.dupont@outlook.com,0033478712552,1973-10-09,DE,2022-05-03,or
5241,Matthieu du Lecoq,n/a,-999,26/05/1993,France,2023-10-31,or
5242,Daniel Gilbert-Pasquier,daniel.gilbert-pasquier@gmail.com,0008115562,29/07/2004,FRANCE,23/11/2023,bronze
5243,Alex Peltier,alex.peltier@outlook.com,0033668455048,29-11-2004,DE,2024-10-10,bronze
5244,Luc Cohen,luc.cohen@yahoo.fr,0033108562884,06/01/1984,be,2022-10-16,or
5245,Marcelle Le Boulay,marcelle.le.boulay@outlook.com,,1983-05-26,France,2023-06-30,argent
5246,Victor Denis,victor.denis@hotmail.fr,+33989354492,18-05-1969,de,18/04/2025,platine
5247,Jeanne de Millet,jeanne.de.millet@yahoo.fr,0033661106273,16-06-1974,be,15/12/2023,argent
